datetime_beginning_utc,datetime_beginning_ept,ancillary_service,unit,value,row_is_current,version_nbr
9/7/2024 7:00:00 PM,9/7/2024 3:00:00 PM,RTO Synchronized Reserve,Price,0.040000,True,1
9/7/2024 8:00:00 PM,9/7/2024 4:00:00 PM,RTO Synchronized Reserve,Price,0.000000,True,1
9/7/2024 9:00:00 PM,9/7/2024 5:00:00 PM,RTO Synchronized Reserve,Price,0.000000,True,1
9/7/2024 10:00:00 PM,9/7/2024 6:00:00 PM,RTO Synchronized Reserve,Price,1.280000,True,1
9/7/2024 11:00:00 PM,9/7/2024 7:00:00 PM,RTO Synchronized Reserve,Price,10.290000,True,1
9/8/2024 12:00:00 AM,9/7/2024 8:00:00 PM,RTO Synchronized Reserve,Price,0.040000,True,1
9/8/2024 1:00:00 AM,9/7/2024 9:00:00 PM,RTO Synchronized Reserve,Price,0.040000,True,1
9/8/2024 2:00:00 AM,9/7/2024 10:00:00 PM,RTO Synchronized Reserve,Price,0.020000,True,1
9/8/2024 3:00:00 AM,9/7/2024 11:00:00 PM,RTO Synchronized Reserve,Price,0.010000,True,1
9/8/2024 4:00:00 AM,9/8/2024 12:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
9/8/2024 5:00:00 AM,9/8/2024 1:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
9/8/2024 6:00:00 AM,9/8/2024 2:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
9/8/2024 7:00:00 AM,9/8/2024 3:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
9/8/2024 8:00:00 AM,9/8/2024 4:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
9/8/2024 9:00:00 AM,9/8/2024 5:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
9/8/2024 10:00:00 AM,9/8/2024 6:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
9/8/2024 11:00:00 AM,9/8/2024 7:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
9/8/2024 12:00:00 PM,9/8/2024 8:00:00 AM,RTO Synchronized Reserve,Price,0.010000,True,1
9/8/2024 1:00:00 PM,9/8/2024 9:00:00 AM,RTO Synchronized Reserve,Price,0.010000,True,1
9/8/2024 2:00:00 PM,9/8/2024 10:00:00 AM,RTO Synchronized Reserve,Price,0.010000,True,1
9/8/2024 3:00:00 PM,9/8/2024 11:00:00 AM,RTO Synchronized Reserve,Price,0.010000,True,1
9/8/2024 4:00:00 PM,9/8/2024 12:00:00 PM,RTO Synchronized Reserve,Price,0.010000,True,1
9/8/2024 5:00:00 PM,9/8/2024 1:00:00 PM,RTO Synchronized Reserve,Price,0.010000,True,1
9/8/2024 6:00:00 PM,9/8/2024 2:00:00 PM,RTO Synchronized Reserve,Price,0.010000,True,1
9/8/2024 7:00:00 PM,9/8/2024 3:00:00 PM,RTO Synchronized Reserve,Price,0.020000,True,1
9/8/2024 8:00:00 PM,9/8/2024 4:00:00 PM,RTO Synchronized Reserve,Price,0.040000,True,1
9/8/2024 9:00:00 PM,9/8/2024 5:00:00 PM,RTO Synchronized Reserve,Price,2.150000,True,1
9/8/2024 10:00:00 PM,9/8/2024 6:00:00 PM,RTO Synchronized Reserve,Price,0.390000,True,1
9/8/2024 11:00:00 PM,9/8/2024 7:00:00 PM,RTO Synchronized Reserve,Price,9.300000,True,1
9/9/2024 12:00:00 AM,9/8/2024 8:00:00 PM,RTO Synchronized Reserve,Price,22.070000,True,1
9/9/2024 1:00:00 AM,9/8/2024 9:00:00 PM,RTO Synchronized Reserve,Price,0.030000,True,1
9/9/2024 2:00:00 AM,9/8/2024 10:00:00 PM,RTO Synchronized Reserve,Price,0.010000,True,1
9/9/2024 3:00:00 AM,9/8/2024 11:00:00 PM,RTO Synchronized Reserve,Price,6.160000,True,1
9/9/2024 4:00:00 AM,9/9/2024 12:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
9/9/2024 5:00:00 AM,9/9/2024 1:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
9/9/2024 6:00:00 AM,9/9/2024 2:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
9/9/2024 7:00:00 AM,9/9/2024 3:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
9/9/2024 8:00:00 AM,9/9/2024 4:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
9/9/2024 9:00:00 AM,9/9/2024 5:00:00 AM,RTO Synchronized Reserve,Price,1.570000,True,1
9/9/2024 10:00:00 AM,9/9/2024 6:00:00 AM,RTO Synchronized Reserve,Price,20.020000,True,1
9/9/2024 11:00:00 AM,9/9/2024 7:00:00 AM,RTO Synchronized Reserve,Price,4.060000,True,1
9/9/2024 12:00:00 PM,9/9/2024 8:00:00 AM,RTO Synchronized Reserve,Price,0.020000,True,1
9/9/2024 1:00:00 PM,9/9/2024 9:00:00 AM,RTO Synchronized Reserve,Price,0.020000,True,1
9/9/2024 2:00:00 PM,9/9/2024 10:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
9/9/2024 3:00:00 PM,9/9/2024 11:00:00 AM,RTO Synchronized Reserve,Price,0.020000,True,1
9/9/2024 4:00:00 PM,9/9/2024 12:00:00 PM,RTO Synchronized Reserve,Price,0.010000,True,1
9/9/2024 5:00:00 PM,9/9/2024 1:00:00 PM,RTO Synchronized Reserve,Price,0.020000,True,1
9/9/2024 6:00:00 PM,9/9/2024 2:00:00 PM,RTO Synchronized Reserve,Price,0.040000,True,1
9/9/2024 7:00:00 PM,9/9/2024 3:00:00 PM,RTO Synchronized Reserve,Price,0.020000,True,1
9/9/2024 8:00:00 PM,9/9/2024 4:00:00 PM,RTO Synchronized Reserve,Price,0.040000,True,1
9/9/2024 9:00:00 PM,9/9/2024 5:00:00 PM,RTO Synchronized Reserve,Price,17.410000,True,1
9/9/2024 10:00:00 PM,9/9/2024 6:00:00 PM,RTO Synchronized Reserve,Price,5.600000,True,1
9/9/2024 11:00:00 PM,9/9/2024 7:00:00 PM,RTO Synchronized Reserve,Price,3.620000,True,1
9/10/2024 12:00:00 AM,9/9/2024 8:00:00 PM,RTO Synchronized Reserve,Price,11.070000,True,1
9/10/2024 1:00:00 AM,9/9/2024 9:00:00 PM,RTO Synchronized Reserve,Price,0.040000,True,1
9/10/2024 2:00:00 AM,9/9/2024 10:00:00 PM,RTO Synchronized Reserve,Price,10.690000,True,1
9/10/2024 3:00:00 AM,9/9/2024 11:00:00 PM,RTO Synchronized Reserve,Price,1.260000,True,1
9/10/2024 4:00:00 AM,9/10/2024 12:00:00 AM,RTO Synchronized Reserve,Price,1.600000,True,1
9/10/2024 5:00:00 AM,9/10/2024 1:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
9/10/2024 6:00:00 AM,9/10/2024 2:00:00 AM,RTO Synchronized Reserve,Price,0.010000,True,1
9/10/2024 7:00:00 AM,9/10/2024 3:00:00 AM,RTO Synchronized Reserve,Price,0.020000,True,1
9/10/2024 8:00:00 AM,9/10/2024 4:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
9/10/2024 9:00:00 AM,9/10/2024 5:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
9/10/2024 10:00:00 AM,9/10/2024 6:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
9/10/2024 11:00:00 AM,9/10/2024 7:00:00 AM,RTO Synchronized Reserve,Price,0.470000,True,1
9/10/2024 12:00:00 PM,9/10/2024 8:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
9/10/2024 1:00:00 PM,9/10/2024 9:00:00 AM,RTO Synchronized Reserve,Price,0.020000,True,1
9/10/2024 2:00:00 PM,9/10/2024 10:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
9/10/2024 3:00:00 PM,9/10/2024 11:00:00 AM,RTO Synchronized Reserve,Price,0.030000,True,1
9/10/2024 4:00:00 PM,9/10/2024 12:00:00 PM,RTO Synchronized Reserve,Price,0.010000,True,1
9/10/2024 5:00:00 PM,9/10/2024 1:00:00 PM,RTO Synchronized Reserve,Price,0.010000,True,1
9/10/2024 6:00:00 PM,9/10/2024 2:00:00 PM,RTO Synchronized Reserve,Price,0.010000,True,1
